Feature,Importance
Min Packet Length,0.1547735743390845
PSH Flag Count,0.15030414763163796
Bwd Packet Length Min,0.14467287036294368
Subflow Fwd Bytes,0.14407551361567264
Total Length of Fwd Packets,0.14400108323178548
Bwd IAT Total,0.13276271845754795
Bwd Packet Length Mean,0.12995996331838908
Fwd Packet Length Mean,0.12620217451580262
Destination Port,0.12472321612845727
Active Max,0.12415252882557345
Fwd Packet Length Std,0.12414746664268672
Average Packet Size,0.12356865047373437
Fwd Packet Length Max,0.12252737670248895
Bwd Packet Length Std,0.12181966679214777
Packet Length Variance,0.12127444523195026
Active Mean,0.1205249135900004
Bwd Packet Length Max,0.12041961387556033
Packet Length Mean,0.11883761021749448
Packet Length Std,0.11627878360036623
ACK Flag Count,0.11288660005692197
Fwd IAT Mean,0.11122833769168768
act_data_pkt_fwd,0.11082627680440331
Fwd IAT Min,0.10979727192922803
Flow Packets/s,0.10976646267117829
Max Packet Length,0.10874241807115388
Bwd IAT Mean,0.10718004128044097
Total Fwd Packets,0.1069068215848287
Fwd Packets/s,0.10653750107806614
Init_Win_bytes_forward,0.10445688287646335
Bwd IAT Min,0.10419436545528293
Active Min,0.10251219604129932
Flow Duration,0.10218313036193685
Flow IAT Std,0.10208360822442752
Fwd IAT Total,0.10167395312064051
Bwd IAT Max,0.10081622535004715
Idle Min,0.0963203873769525
Idle Mean,0.09627209065818437
Fwd IAT Max,0.09435130625575952
Idle Max,0.09426739854619391
Flow IAT Max,0.0938906463750614
Flow IAT Mean,0.09371006005288998
Fwd Packet Length Min,0.08419778723876922
Bwd IAT Std,0.0813714320480758
Fwd IAT Std,0.08030535485338583
Init_Win_bytes_backward,0.05182304768871484
Flow Bytes/s,0.050559806110032836
FIN Flag Count,0.047737594770537954
Bwd Packets/s,0.04280611647330958
Flow IAT Min,0.026603602842911127
Bwd Header Length,0.0033022618323441137
min_seg_size_forward,0.003170678998577577
Fwd Header Length,0.0013497258782515743
